Flight Daily Stats (Flight-only)
Database: flight_data.db
Source table: flight_history
Calculations:
  - flight_count per day
  - avg_delay_min per day (ignores NULL and negative delays)

Columns:
date	flight_count	avg_delay_min
--------------------------------------------------
2025-09-20	25	40.76
2025-09-21	25	28.44
2025-09-22	25	37.86
2025-09-23	25	170.00
2025-09-24	25	27.29
2025-09-25	25	112.42
2025-09-26	25	39.96
2025-09-27	25	36.62
2025-09-28	25	26.36
2025-09-29	25	31.50
2025-09-30	25	26.00
2025-10-01	25	26.48
2025-10-02	25	27.72
2025-10-03	25	32.68
2025-10-04	25	41.48
2025-10-05	25	35.04
2025-10-06	25	50.21
2025-10-07	25	45.04
2025-10-08	25	79.00
2025-10-09	25	45.52
2025-10-10	25	33.57
2025-10-11	25	20.95
2025-10-12	25	85.33
2025-10-13	25	58.79
2025-10-14	25	25.72
2025-10-15	25	30.56
2025-10-16	25	61.44
2025-10-17	25	29.04
2025-10-18	25	21.17
2025-10-19	25	89.72
2025-10-20	25	37.83
2025-10-21	25	47.32
2025-10-22	25	21.80
2025-10-23	25	34.40
2025-10-24	25	29.48
2025-10-25	25	26.96
2025-10-26	25	31.40
2025-10-27	25	35.56
2025-10-28	25	57.33
2025-10-29	25	25.54
2025-10-30	25	55.46
2025-10-31	25	44.88
2025-11-01	24	267.65
2025-11-02	25	40.71
2025-11-03	25	34.96
2025-11-04	25	31.52
2025-11-05	25	85.20
2025-11-06	25	30.58
2025-11-07	25	77.50
2025-11-08	25	40.00
2025-11-09	25	135.80
2025-11-10	25	37.64
2025-11-11	25	65.12
2025-11-12	25	26.64
2025-11-13	25	35.18
2025-11-14	25	39.04
2025-11-15	25	28.04
2025-11-16	25	35.72
2025-11-17	25	22.04
2025-11-18	25	16.92
2025-11-19	25	43.67
2025-11-20	25	29.96
2025-11-21	25	27.14
2025-11-22	25	29.86
2025-11-23	25	34.00
2025-11-24	25	28.00
2025-11-25	25	50.08
2025-11-26	25	19.38
2025-11-27	25	17.84
2025-11-28	25	21.96
2025-11-29	25	44.24
2025-11-30	25	48.64
2025-12-01	25	36.80
2025-12-02	25	51.08
2025-12-03	25	33.62
2025-12-04	25	29.75
2025-12-05	25	59.71
2025-12-06	25	135.48
2025-12-07	25	65.48
2025-12-08	25	69.76
2025-12-09	25	36.08
2025-12-10	25	48.04

Total unique days: 82
Total flights (rows in flight_history selected): 2049
Rows written (limit_days=9999999): 82
