Week Range                                         | Avg Wind Speed (km/h)
---------------------------------------------------------------------------
2025-Week00 (2025-01-01 to 2025-01-04)             | 20.66
2025-Week01 (2025-01-05 to 2025-01-11)             | 19.55
2025-Week02 (2025-01-12 to 2025-01-18)             | 14.02
2025-Week03 (2025-01-19 to 2025-01-25)             | 12.14
2025-Week04 (2025-01-26 to 2025-02-01)             | 15.34
2025-Week05 (2025-02-02 to 2025-02-08)             | 11.98
2025-Week06 (2025-02-09 to 2025-02-15)             | 12.34
2025-Week07 (2025-02-16 to 2025-02-22)             | 18.46
2025-Week08 (2025-02-23 to 2025-03-01)             | 13.18
2025-Week09 (2025-03-02 to 2025-03-08)             | 17.79
2025-Week10 (2025-03-09 to 2025-03-15)             | 12.45
2025-Week11 (2025-03-16 to 2025-03-22)             | 15.93
2025-Week12 (2025-03-23 to 2025-03-29)             | 15.38
2025-Week13 (2025-03-30 to 2025-04-05)             | 15.38
2025-Week14 (2025-04-06 to 2025-04-12)             | 15.07
2025-Week15 (2025-04-13 to 2025-04-19)             | 15.95
2025-Week16 (2025-04-20 to 2025-04-26)             | 14.39
2025-Week17 (2025-04-27 to 2025-05-03)             | 15.61
2025-Week18 (2025-05-04 to 2025-05-10)             | 12.91
2025-Week19 (2025-05-11 to 2025-05-17)             | 11.09
2025-Week20 (2025-05-18 to 2025-05-24)             | 16.64
2025-Week21 (2025-05-25 to 2025-05-31)             | 12.71
2025-Week22 (2025-06-01 to 2025-06-07)             | 13.32
2025-Week23 (2025-06-08 to 2025-06-14)             | 12.73
2025-Week24 (2025-06-15 to 2025-06-21)             | 12.04
2025-Week25 (2025-06-22 to 2025-06-28)             | 13.52
2025-Week26 (2025-06-29 to 2025-07-05)             | 11.80
2025-Week27 (2025-07-06 to 2025-07-12)             | 11.39
2025-Week28 (2025-07-13 to 2025-07-19)             | 12.50
2025-Week29 (2025-07-20 to 2025-07-26)             | 15.36
2025-Week30 (2025-07-27 to 2025-08-02)             | 11.52
2025-Week31 (2025-08-03 to 2025-08-09)             | 10.62
2025-Week32 (2025-08-10 to 2025-08-16)             | 11.54
2025-Week33 (2025-08-17 to 2025-08-23)             | 16.50
2025-Week34 (2025-08-24 to 2025-08-30)             | 14.20
2025-Week35 (2025-08-31 to 2025-09-06)             | 12.48
2025-Week36 (2025-09-07 to 2025-09-13)             | 10.55
2025-Week37 (2025-09-14 to 2025-09-20)             | 11.38
2025-Week38 (2025-09-21 to 2025-09-27)             | 10.79
2025-Week39 (2025-09-28 to 2025-10-04)             | 11.39
2025-Week40 (2025-10-05 to 2025-10-11)             | 13.52
2025-Week41 (2025-10-12 to 2025-10-18)             | 20.36
2025-Week42 (2025-10-19 to 2025-10-25)             | 17.98
2025-Week43 (2025-10-26 to 2025-11-01)             | 20.00
2025-Week44 (2025-11-02 to 2025-11-08)             | 16.43
2025-Week45 (2025-11-09 to 2025-11-15)             | 18.41
2025-Week46 (2025-11-16 to 2025-11-22)             | 14.32
2025-Week47 (2025-11-23 to 2025-11-29)             | 16.34
2025-Week48 (2025-11-30 to 2025-12-06)             | 13.59
2025-Week49 (2025-12-07 to 2025-12-12)             | 17.92
